direction,chrf++,spBLEU(spm-200),spBLEU(spm-100)
acm_Arab-plt_Latn,46.5,19.6,22.7
acm_Arab-pol_Latn,43.5,25.7,22.7
acm_Arab-por_Latn,55.8,36.1,34.7
acm_Arab-prs_Arab,44.2,23.4,22.8
acm_Arab-quy_Latn,28,5.3,7.3
acm_Arab-ron_Latn,52.3,33.6,31.5
acm_Arab-run_Latn,39.4,16.4,20.8
acm_Arab-rus_Cyrl,48.8,31.3,28.2
acm_Arab-sag_Latn,34.7,9.3,11.4
acm_Arab-san_Deva,25.3,7,9.5
acm_Arab-sat_Olck,24.1,15.5,16.9
acm_Arab-scn_Latn,40.5,17.8,18.6
acm_Arab-shn_Mymr,31,12,21.4
acm_Arab-sin_Sinh,37.5,29.1,25.5
acm_Arab-slk_Latn,48.8,30.1,29.6
acm_Arab-slv_Latn,48.9,28.8,28.5
acm_Arab-smo_Latn,46,22.2,26.7
acm_Arab-sna_Latn,39.9,15.4,19.9
acm_Arab-snd_Arab,40.2,22.6,27.1
acm_Arab-som_Latn,39,13.8,14
acm_Arab-sot_Latn,42.7,17.2,21
acm_Arab-spa_Latn,48.4,26.3,25.6
acm_Arab-srd_Latn,48.1,25.7,27.1
acm_Arab-srp_Cyrl,49.5,30.3,30.3
acm_Arab-ssw_Latn,39.5,14.7,18.8
acm_Arab-sun_Latn,40.3,15.5,16.5
acm_Arab-swe_Latn,53.9,34.1,32.5
acm_Arab-swh_Latn,51.5,27.7,28.6
acm_Arab-szl_Latn,41.5,24.5,26.2
acm_Arab-tam_Taml,46.7,27.8,27.9
acm_Arab-taq_Latn,21.2,3.5,4.3
acm_Arab-taq_Tfng,16,4.4,5.3
acm_Arab-tat_Cyrl,44.1,24.2,34.4
acm_Arab-tel_Telu,44.5,28.7,30.2
acm_Arab-tgk_Cyrl,45.8,28.9,33.3
acm_Arab-tgl_Latn,53.3,28.3,29.9
acm_Arab-tha_Thai,38.1,31.2,20.9
acm_Arab-tir_Ethi,23.2,14.6,17.3
acm_Arab-tpi_Latn,40.5,15.3,20.4
acm_Arab-tsn_Latn,44.3,20.7,24.5
acm_Arab-tso_Latn,45.1,19.9,26.3
acm_Arab-tuk_Latn,38.3,17.5,23.3
acm_Arab-tum_Latn,30.7,8.7,12.3
acm_Arab-tur_Latn,48.9,27.9,26.7
acm_Arab-twi_Latn,34.3,11.5,17.4
acm_Arab-tzm_Tfng,29.4,17.5,22.3
acm_Arab-uig_Arab,42.7,25.7,39.9
acm_Arab-ukr_Cyrl,47,28.8,27.3
acm_Arab-umb_Latn,27.1,3.3,4.8
acm_Arab-urd_Arab,42.6,23.3,22.9
acm_Arab-uzn_Latn,43.9,19.4,23.3
acm_Arab-vec_Latn,43.1,18.9,19.3
acm_Arab-vie_Latn,52.3,34,33.4
acm_Arab-war_Latn,47.4,21.9,23.5
acm_Arab-wol_Latn,27.7,7.5,9.4
acm_Arab-xho_Latn,43.1,18.2,22.4
acm_Arab-ydd_Hebr,33.4,14,19.8
acm_Arab-yor_Latn,27.5,12.4,16.6
acm_Arab-yue_Hant,15.3,13.7,11.5
acm_Arab-zho_Hans,20.1,24.5,20.6
acm_Arab-zho_Hant,12.6,12.3,10.2
acm_Arab-zsm_Latn,55.9,30.6,30.2
acm_Arab-zul_Latn,45.8,22.4,26.9
acq_Arab-ace_Arab,13.8,3.6,3.7
acq_Arab-ace_Latn,33,8.1,8.9
acq_Arab-acm_Arab,49.5,34.3,30
acq_Arab-aeb_Arab,43.6,27.8,23.5
acq_Arab-afr_Latn,53.4,30.4,30.8
acq_Arab-ajp_Arab,48.4,32.2,27.2
acq_Arab-aka_Latn,31,8.9,13.4
acq_Arab-als_Latn,51.4,30.2,30.3
acq_Arab-amh_Ethi,33.3,24.5,26.9
acq_Arab-apc_Arab,45.5,30.1,26.1
acq_Arab-arb_Arab,63.8,47.6,42.7
acq_Arab-ars_Arab,56.5,42.6,38
acq_Arab-ary_Arab,39.7,23.6,19
acq_Arab-arz_Arab,52,37.7,33.3
acq_Arab-asm_Beng,33.4,19.4,24.3
acq_Arab-ast_Latn,49.9,25.6,27.2
acq_Arab-awa_Deva,31.2,14.5,16.2
acq_Arab-ayr_Latn,30.3,6.9,11.4
acq_Arab-azb_Arab,24,4.6,4.2
acq_Arab-azj_Latn,40.6,21.2,19
acq_Arab-bak_Cyrl,43.3,23.9,36.5
acq_Arab-bam_Latn,28,6.4,9.7
acq_Arab-ban_Latn,40,13.7,15.3
acq_Arab-bel_Cyrl,39.2,23.8,21.2
acq_Arab-bem_Latn,35.4,10.4,13
acq_Arab-ben_Beng,42.5,27.5,29.2
acq_Arab-bho_Deva,36.9,17.2,20.2
acq_Arab-bjn_Arab,10.9,3.1,3
acq_Arab-bjn_Latn,43.2,16.1,16.5
acq_Arab-bod_Tibt,28.3,6.9,1.5
acq_Arab-bos_Latn,50,29.6,27.8
acq_Arab-bug_Latn,31.1,6.5,7.9
acq_Arab-bul_Cyrl,55.3,37.4,34.8
acq_Arab-cat_Latn,55.3,35.7,35.9
acq_Arab-ceb_Latn,51.6,27,28.8
acq_Arab-ces_Latn,48.7,31.3,29.8
acq_Arab-cjk_Latn,22.9,2.7,3.2
acq_Arab-ckb_Arab,42.1,20.9,23.5
acq_Arab-crh_Latn,41.8,21.1,23.6
acq_Arab-cym_Latn,55.7,38.7,39.6
acq_Arab-dan_Latn,55.6,34.8,34.1
acq_Arab-deu_Latn,53.8,34,32
acq_Arab-dik_Latn,21.8,3.8,5.4
acq_Arab-dyu_Latn,19.6,2.4,2.5
acq_Arab-dzo_Tibt,33.2,11.4,3
acq_Arab-ell_Grek,46.5,31.4,28.2
acq_Arab-eng_Latn,64.9,45.1,44.2
acq_Arab-epo_Latn,51.6,30.1,32.1
acq_Arab-est_Latn,49,27.8,28
acq_Arab-eus_Latn,45.5,23.3,24.6
acq_Arab-ewe_Latn,36.1,14.1,19.5
acq_Arab-fao_Latn,43.1,23.4,24.9
acq_Arab-fij_Latn,45.8,20.1,24.1
acq_Arab-fin_Latn,48.8,26.7,25.1
acq_Arab-fon_Latn,19.5,4.8,8
acq_Arab-fra_Latn,58.5,40.2,39.1
acq_Arab-fur_Latn,47.3,27.5,29.8
acq_Arab-fuv_Latn,21.6,3.5,3.9
acq_Arab-gaz_Latn,35.6,10.8,12.9
acq_Arab-gla_Latn,45.8,23.3,27.1
acq_Arab-gle_Latn,49.9,30.7,34.5
acq_Arab-glg_Latn,52.7,30.6,31.3
acq_Arab-grn_Latn,34.5,13.6,16.5
acq_Arab-guj_Gujr,43.9,26.6,30.5
acq_Arab-hat_Latn,46.5,23.3,25.9
acq_Arab-hau_Latn,47.2,21.9,24.3
acq_Arab-heb_Hebr,48.7,33.7,31.4
acq_Arab-hin_Deva,47.7,28.7,30.8
acq_Arab-hne_Deva,42.9,21.2,25.9
acq_Arab-hrv_Latn,49.8,29.1,27.2
acq_Arab-hun_Latn,48.4,28.8,26.8
acq_Arab-hye_Armn,46.5,31.5,30.9
acq_Arab-ibo_Latn,39.2,17.3,22.8
acq_Arab-ilo_Latn,48,20.4,22.7
acq_Arab-ind_Latn,58.6,34.3,34.1
acq_Arab-isl_Latn,45.5,28.4,27.7
acq_Arab-ita_Latn,50.6,29.3,28.6
acq_Arab-jav_Latn,47,20,22.7
acq_Arab-jpn_Jpan,22,16.7,20.3
acq_Arab-kab_Latn,32.7,13.7,16
acq_Arab-kac_Latn,38.1,13.4,15.7
acq_Arab-kam_Latn,22.7,4.1,5.4
acq_Arab-kan_Knda,45.5,29.1,30.3
acq_Arab-kas_Arab,29,13.7,15.2
acq_Arab-kas_Deva,15.6,3.3,4.4
acq_Arab-kat_Geor,45.5,30.2,28.2
acq_Arab-kaz_Cyrl,46.1,24.4,25.3
acq_Arab-kbp_Latn,23.3,7,13.6
acq_Arab-kea_Latn,41.4,19.3,20.2
acq_Arab-khk_Cyrl,41.3,23.6,20.5
acq_Arab-khm_Khmr,33.8,21.7,21
acq_Arab-kik_Latn,21.8,4.8,8.5
acq_Arab-kin_Latn,45.7,21.6,27.8
acq_Arab-kir_Cyrl,42.5,22.8,25.7
acq_Arab-kmb_Latn,23,3,4.2
acq_Arab-kmr_Latn,36,15.5,17.4
acq_Arab-knc_Arab,10.1,4.5,4.6
acq_Arab-knc_Latn,24.7,5.3,6.1
acq_Arab-kon_Latn,44.6,18.1,22.8
acq_Arab-kor_Hang,29.3,21.3,23.1
acq_Arab-lao_Laoo,41.2,27,30.8
acq_Arab-lij_Latn,44.3,26.1,26.6
acq_Arab-lim_Latn,40.7,17.7,17.9
acq_Arab-lin_Latn,46.3,18.7,22.7
acq_Arab-lit_Latn,48.9,27.6,27.6
acq_Arab-lmo_Latn,31.2,7.6,7.7
acq_Arab-ltg_Latn,43,24.1,26.1
acq_Arab-ltz_Latn,47,26.1,28.3
acq_Arab-lua_Latn,33.9,7.7,10
acq_Arab-lug_Latn,36.9,10.2,12.9
acq_Arab-luo_Latn,37.3,13.1,16.2
acq_Arab-lus_Latn,36.1,12.4,14.8
acq_Arab-lvs_Latn,48.1,27,27.7
acq_Arab-mag_Deva,45.9,25.8,28.8
acq_Arab-mai_Deva,35.4,15.1,19.7
acq_Arab-mal_Mlym,45.2,29.8,30.2
acq_Arab-mar_Deva,41,22.4,23.6
acq_Arab-min_Latn,45.5,20.1,22.7
acq_Arab-mkd_Cyrl,53.3,32.7,32.4
acq_Arab-mlt_Latn,53.4,37.6,42.8
acq_Arab-mni_Beng,34.2,21.6,33.3
acq_Arab-mos_Latn,19.8,3.9,7.2
acq_Arab-mri_Latn,42.8,19.2,23.2
acq_Arab-mya_Mymr,28,13.8,17.1
acq_Arab-nld_Latn,49.6,27.8,26.6
acq_Arab-nno_Latn,45.3,22.7,22.6
acq_Arab-nob_Latn,49.8,27.1,26.3
acq_Arab-npi_Deva,42.6,23.3,24.3
acq_Arab-nso_Latn,47.3,22.2,26.3
acq_Arab-nus_Latn,27.5,12,15.2
acq_Arab-nya_Latn,41.9,14.6,20.3
acq_Arab-oci_Latn,49.3,29,29.9
acq_Arab-ory_Orya,40.5,23.3,27.8
acq_Arab-pag_Latn,43,16.5,18.3
acq_Arab-pan_Guru,42.3,28,31.5
acq_Arab-pap_Latn,49.6,28.4,29.6
acq_Arab-pbt_Arab,34.5,17.7,17
acq_Arab-pes_Arab,45.2,27.2,26.5
acq_Arab-plt_Latn,47.3,20.1,23.3
acq_Arab-pol_Latn,44.1,26.2,23.4
acq_Arab-por_Latn,57.1,37.5,36.2
acq_Arab-prs_Arab,44.8,23.9,23.2
acq_Arab-quy_Latn,28.6,5.4,7.7
acq_Arab-ron_Latn,53.4,34.8,32.7
acq_Arab-run_Latn,39.8,16.8,21.2
acq_Arab-rus_Cyrl,49.7,32.2,29
acq_Arab-sag_Latn,35,9.3,11.3
acq_Arab-san_Deva,25.8,7,9.7
acq_Arab-sat_Olck,23.7,15,16.2
acq_Arab-scn_Latn,41.2,18.3,19.2
acq_Arab-shn_Mymr,31.3,12.1,21.7
acq_Arab-sin_Sinh,39,30.4,26.6
acq_Arab-slk_Latn,49.4,30.5,30
acq_Arab-slv_Latn,49.8,29.6,29.3
acq_Arab-smo_Latn,46.8,22.6,27.2
acq_Arab-sna_Latn,40.9,16.2,20.9
acq_Arab-snd_Arab,41.1,23.5,28.2
acq_Arab-som_Latn,39.4,13.9,14.1
acq_Arab-sot_Latn,43.5,17.6,21.5
acq_Arab-spa_Latn,48.8,26.9,26.3
acq_Arab-srd_Latn,48.3,26.2,27.6
acq_Arab-srp_Cyrl,50.4,31.4,31.4
acq_Arab-ssw_Latn,40.1,15.3,19.5
acq_Arab-sun_Latn,41.1,16.2,17.3
acq_Arab-swe_Latn,54.9,35.2,33.5
acq_Arab-swh_Latn,52.4,28.4,29.4
acq_Arab-szl_Latn,42,24.6,26.4
acq_Arab-tam_Taml,47.5,28.6,28.7
acq_Arab-taq_Latn,21.5,3.4,4.3
acq_Arab-taq_Tfng,16.2,4.5,5.3
acq_Arab-tat_Cyrl,45,25.3,35.4
acq_Arab-tel_Telu,45.7,29.7,31.3
acq_Arab-tgk_Cyrl,46.5,29.3,33.8
acq_Arab-tgl_Latn,54.3,29,30.6
acq_Arab-tha_Thai,38.8,32.1,21.8
acq_Arab-tir_Ethi,23.3,14.5,17.2
acq_Arab-tpi_Latn,41.3,15.7,21
acq_Arab-tsn_Latn,44.8,20.9,24.8
acq_Arab-tso_Latn,45.6,20,26.5
acq_Arab-tuk_Latn,39.1,17.9,23.9
acq_Arab-tum_Latn,30.2,8.3,11.4
acq_Arab-tur_Latn,50.1,29.1,27.9
acq_Arab-twi_Latn,34.7,11.7,17.4
acq_Arab-tzm_Tfng,29.6,17.5,22.5
acq_Arab-uig_Arab,43.7,26.6,41
acq_Arab-ukr_Cyrl,48.1,29.9,28.4
acq_Arab-umb_Latn,27.6,3.5,4.9
acq_Arab-urd_Arab,43.3,23.5,23.1
acq_Arab-uzn_Latn,44.7,19.9,24
acq_Arab-vec_Latn,43.9,19.5,19.8
acq_Arab-vie_Latn,53.2,34.8,34.2
acq_Arab-war_Latn,48,22.3,24
acq_Arab-wol_Latn,28,7.7,9.6
acq_Arab-xho_Latn,44,18.9,23
acq_Arab-ydd_Hebr,33,12.8,18.9
acq_Arab-yor_Latn,28.2,13.1,17.3
acq_Arab-yue_Hant,15.3,14.6,12.3
acq_Arab-zho_Hans,20.5,25.7,21.5
acq_Arab-zho_Hant,13.7,13.8,11.5
acq_Arab-zsm_Latn,57.1,32,31.6
acq_Arab-zul_Latn,46.5,23,27.6
aeb_Arab-ace_Arab,14.3,3.5,3.7
aeb_Arab-ace_Latn,31.9,7.7,8.6
aeb_Arab-acm_Arab,46.6,31.5,27.3
aeb_Arab-acq_Arab,45.7,30.4,26
aeb_Arab-afr_Latn,50,26.8,27.2
aeb_Arab-ajp_Arab,45.3,28.9,24.1
aeb_Arab-aka_Latn,29.4,8,12.1
aeb_Arab-als_Latn,48.5,27.1,27.2
aeb_Arab-amh_Ethi,31.2,22.9,25.1
aeb_Arab-apc_Arab,43.3,27.9,24
aeb_Arab-arb_Arab,58,41.4,36.6
aeb_Arab-ars_Arab,51.5,37.3,32.7
aeb_Arab-ary_Arab,38.4,22.3,17.9
aeb_Arab-arz_Arab,49,34.4,30
aeb_Arab-asm_Beng,31.9,18.1,22.7
aeb_Arab-ast_Latn,47.6,24,25.7
aeb_Arab-awa_Deva,30.8,13.9,15.6
aeb_Arab-ayr_Latn,29.4,6.4,10.5
aeb_Arab-azb_Arab,23.1,4.2,3.7
aeb_Arab-azj_Latn,38.7,19.1,17
aeb_Arab-bak_Cyrl,40.9,21.5,33.7
aeb_Arab-bam_Latn,27.1,6.2,9.4
aeb_Arab-ban_Latn,38.1,12.5,13.9
aeb_Arab-bel_Cyrl,37.4,22.1,19.5
aeb_Arab-bem_Latn,34,9.5,11.9
aeb_Arab-ben_Beng,39.8,25,26.4
aeb_Arab-bho_Deva,34.9,15.6,18.4
aeb_Arab-bjn_Arab,13.2,3.7,3.6
aeb_Arab-bjn_Latn,41.2,14.6,15.1
aeb_Arab-bod_Tibt,27.4,6.8,1.2
aeb_Arab-bos_Latn,47,26.7,25.1
aeb_Arab-bug_Latn,30.1,6.1,7.6
aeb_Arab-bul_Cyrl,51.5,33.2,30.8
aeb_Arab-cat_Latn,52,32.5,32.7
aeb_Arab-ceb_Latn,49.1,24.4,26
aeb_Arab-ces_Latn,45.1,27.4,26.1
aeb_Arab-cjk_Latn,22.5,2.6,3
aeb_Arab-ckb_Arab,39.6,18.8,21.2
aeb_Arab-crh_Latn,39.7,19,21.4
aeb_Arab-cym_Latn,51.5,34.1,35
aeb_Arab-dan_Latn,51.9,30.7,30
aeb_Arab-deu_Latn,50,29.9,28
aeb_Arab-dik_Latn,21.2,3.7,5.2
aeb_Arab-dyu_Latn,19,2.4,2.6
aeb_Arab-dzo_Tibt,32.3,11.2,3.3
aeb_Arab-ell_Grek,43.7,28.3,25.1
aeb_Arab-eng_Latn,59.5,38.6,37.8
aeb_Arab-epo_Latn,48.5,27.2,28.9
aeb_Arab-est_Latn,45.5,24.1,24.2
aeb_Arab-eus_Latn,42.1,20.4,21.4
aeb_Arab-ewe_Latn,35,13.3,18.5
aeb_Arab-fao_Latn,40.4,20.5,21.9
aeb_Arab-fij_Latn,44.5,19.6,23.3
aeb_Arab-fin_Latn,45.8,23.3,21.8
aeb_Arab-fon_Latn,18.9,4.5,7.5
aeb_Arab-fra_Latn,55.1,36,34.9
aeb_Arab-fur_Latn,44.8,24.9,26.9
aeb_Arab-fuv_Latn,21,3.3,3.7
aeb_Arab-gaz_Latn,34.4,10.2,12.1
aeb_Arab-gla_Latn,43.5,21.1,24.9
aeb_Arab-gle_Latn,46.9,27.5,31
aeb_Arab-glg_Latn,50.1,28.1,28.9
aeb_Arab-grn_Latn,32.6,12.5,15.1
aeb_Arab-guj_Gujr,41.2,24.4,28
aeb_Arab-hat_Latn,44.2,21,23.6
aeb_Arab-hau_Latn,44.7,19.5,21.9
aeb_Arab-heb_Hebr,45.1,29.9,27.6
aeb_Arab-hin_Deva,44.6,25.6,27.6
aeb_Arab-hne_Deva,39.8,18.9,23.3
aeb_Arab-hrv_Latn,47.3,26.8,25
aeb_Arab-hun_Latn,45.5,26.1,24.2
aeb_Arab-hye_Armn,43.6,28.5,27.9
aeb_Arab-ibo_Latn,37.4,15.6,21
aeb_Arab-ilo_Latn,46.6,20.3,22.6
aeb_Arab-ind_Latn,55.2,30.4,30.2
aeb_Arab-isl_Latn,42.5,25.2,24.6
aeb_Arab-ita_Latn,48.2,26.5,25.7
aeb_Arab-jav_Latn,44.4,17.6,20
aeb_Arab-jpn_Jpan,20.7,15.6,19
aeb_Arab-kab_Latn,31.8,13,15.2
aeb_Arab-kac_Latn,36.8,12.7,14.7
aeb_Arab-kam_Latn,23.6,4.3,5.5
aeb_Arab-kan_Knda,43.3,27,28.2
aeb_Arab-kas_Arab,27.3,12.6,14.1
aeb_Arab-kas_Deva,14.8,3,4
aeb_Arab-kat_Geor,43.6,28.4,26.5
aeb_Arab-kaz_Cyrl,43.2,21.6,22.3
aeb_Arab-kbp_Latn,24.4,7.3,14.6
aeb_Arab-kea_Latn,38.3,16.6,17.4
aeb_Arab-khk_Cyrl,39.1,21.5,18.5
aeb_Arab-khm_Khmr,32,19.7,18.8
aeb_Arab-kik_Latn,26.3,7.3,12.1
aeb_Arab-kin_Latn,43.8,20.1,25.8
aeb_Arab-kir_Cyrl,40.2,20.9,23.4
aeb_Arab-kmb_Latn,23.2,3,4.2
aeb_Arab-kmr_Latn,34.8,14.8,16.6
aeb_Arab-knc_Arab,10.4,4.7,4.8
aeb_Arab-knc_Latn,24.2,4.9,5.6
aeb_Arab-kon_Latn,42.7,16.4,20.8
aeb_Arab-kor_Hang,27.2,19.3,21
aeb_Arab-lao_Laoo,38.9,24.9,28.3
aeb_Arab-lij_Latn,41.5,23.5,24.1
aeb_Arab-lim_Latn,38,15.6,15.7
aeb_Arab-lin_Latn,44.7,17.5,21
aeb_Arab-lit_Latn,46.6,25.1,25
aeb_Arab-lmo_Latn,29.9,7,7.1
aeb_Arab-ltg_Latn,40,21.3,23.3
aeb_Arab-ltz_Latn,44.3,23.7,25.7
aeb_Arab-lua_Latn,32.9,7.3,9.3
aeb_Arab-lug_Latn,35.3,9.4,12.1
aeb_Arab-luo_Latn,36.1,12.2,15
aeb_Arab-lus_Latn,34.9,11.7,14
aeb_Arab-lvs_Latn,44.9,23.7,24.3
aeb_Arab-mag_Deva,42.7,22.9,25.7
aeb_Arab-mai_Deva,33.2,13.3,17.8
aeb_Arab-mal_Mlym,42.2,27.1,27.2
aeb_Arab-mar_Deva,38.6,20.1,21.3
aeb_Arab-min_Latn,43.6,18.3,20.9
aeb_Arab-mkd_Cyrl,50.4,29.6,29.3
aeb_Arab-mlt_Latn,49.8,34,39
aeb_Arab-mni_Beng,32.2,19.9,31.3
aeb_Arab-mos_Latn,20.3,4.3,7.5
aeb_Arab-mri_Latn,40.9,17.6,20.9
aeb_Arab-mya_Mymr,26.8,12.9,15.8
aeb_Arab-nld_Latn,47.4,25.1,24
aeb_Arab-nno_Latn,42.7,20.5,20.3
aeb_Arab-nob_Latn,47.1,24.2,23.5
aeb_Arab-npi_Deva,39.3,20.7,21.4
aeb_Arab-nso_Latn,44.8,19.9,23.7
aeb_Arab-nus_Latn,26.6,11.2,14.2
aeb_Arab-nya_Latn,39.9,13.1,18.3
aeb_Arab-oci_Latn,46.6,26.3,27.2
aeb_Arab-ory_Orya,38,21.2,25.3
aeb_Arab-pag_Latn,41.5,15.5,17.1
aeb_Arab-pan_Guru,39.2,25,28.2
aeb_Arab-pap_Latn,46.8,25.8,26.9
aeb_Arab-pbt_Arab,32.7,16.2,15.6
aeb_Arab-pes_Arab,42.4,23.5,22.7
aeb_Arab-plt_Latn,45.3,18.6,21.6
aeb_Arab-pol_Latn,41.8,23.6,20.8
aeb_Arab-por_Latn,53.5,32.8,31.4
aeb_Arab-prs_Arab,42.4,21.8,21.2
aeb_Arab-quy_Latn,27.3,5.1,7.3
aeb_Arab-ron_Latn,49.7,29.9,27.8
aeb_Arab-run_Latn,38.6,16,20.1
aeb_Arab-rus_Cyrl,46.4,28.3,25.2
aeb_Arab-sag_Latn,34.2,8.8,11
aeb_Arab-san_Deva,24.6,6.6,9
aeb_Arab-sat_Olck,23.3,14.8,16
aeb_Arab-scn_Latn,39.3,16.8,17.7
aeb_Arab-shn_Mymr,30.4,11.5,20.6
aeb_Arab-sin_Sinh,36.5,28,24.3
aeb_Arab-slk_Latn,45.9,26.6,26.1
aeb_Arab-slv_Latn,46.7,26.2,25.9
aeb_Arab-smo_Latn,44.7,20.9,25.2
aeb_Arab-sna_Latn,38.9,14.3,18.7
aeb_Arab-snd_Arab,38.4,21.2,25.7
aeb_Arab-som_Latn,37.9,13.1,13.3
aeb_Arab-sot_Latn,41.2,15.5,19.2
aeb_Arab-spa_Latn,46.6,24.5,24
aeb_Arab-srd_Latn,46.5,24.9,26.2
aeb_Arab-srp_Cyrl,47.5,28.5,28.5
aeb_Arab-ssw_Latn,38.6,14,18
aeb_Arab-sun_Latn,39.4,15,16.1
aeb_Arab-swe_Latn,50.8,30.5,29
aeb_Arab-swh_Latn,49.8,25.9,26.7
aeb_Arab-szl_Latn,39.4,22.1,23.8
aeb_Arab-tam_Taml,44.9,26,26.2
aeb_Arab-taq_Latn,20.9,3.3,4.1
aeb_Arab-taq_Tfng,15.8,4.3,5.2
aeb_Arab-tat_Cyrl,42.5,22.3,32.3
aeb_Arab-tel_Telu,43,27.4,28.6
aeb_Arab-tgk_Cyrl,43.6,26.4,30.6
aeb_Arab-tgl_Latn,51.6,26.3,27.9
aeb_Arab-tha_Thai,37,29.9,19.9
aeb_Arab-tir_Ethi,22.4,13.9,16.3
aeb_Arab-tpi_Latn,39.5,14.3,19.3
aeb_Arab-tsn_Latn,43.5,19.6,23.3
aeb_Arab-tso_Latn,43.8,18.6,24.7
aeb_Arab-tuk_Latn,36.7,15.6,21.2
aeb_Arab-tum_Latn,29.9,8.2,11.4
aeb_Arab-tur_Latn,46.5,24.6,23.3
aeb_Arab-twi_Latn,33.5,10.7,16.4
aeb_Arab-tzm_Tfng,28.7,16.8,21.7
aeb_Arab-uig_Arab,41.6,24.5,38.4
aeb_Arab-ukr_Cyrl,44.8,26.4,25
aeb_Arab-umb_Latn,26.5,3.1,4.6
aeb_Arab-urd_Arab,40.8,21.5,20.9
aeb_Arab-uzn_Latn,41.9,17.4,21
aeb_Arab-vec_Latn,41.5,17.8,18
aeb_Arab-vie_Latn,50,31.4,30.9
aeb_Arab-war_Latn,45.5,20,21.5
aeb_Arab-wol_Latn,27.1,7.4,9.1
aeb_Arab-xho_Latn,41.6,17.2,21.2
aeb_Arab-ydd_Hebr,32.2,12.9,18.6
aeb_Arab-yor_Latn,27.1,12.3,16.3
aeb_Arab-yue_Hant,14.8,13.5,11.5
aeb_Arab-zho_Hans,19.4,23.4,19.5
aeb_Arab-zho_Hant,12.4,11.8,9.8
aeb_Arab-zsm_Latn,53.7,28.4,28
aeb_Arab-zul_Latn,44.4,20.7,25.1
afr_Latn-ace_Arab,15.5,4.6,4.8
afr_Latn-ace_Latn,35.3,10.3,11.2
afr_Latn-acm_Arab,23.3,6.1,4.4
afr_Latn-acq_Arab,36.9,21.5,17.8
afr_Latn-aeb_Arab,34.3,16.9,13.5
afr_Latn-ajp_Arab,44.7,28.8,24.1
afr_Latn-aka_Latn,28.5,8.8,12.2
afr_Latn-als_Latn,54,34.3,34.4
afr_Latn-amh_Ethi,35.7,28,30.3
afr_Latn-apc_Arab,44.2,28.9,25
afr_Latn-arb_Arab,51.1,36.4,32
afr_Latn-ars_Arab,42.7,27.8,23.9
afr_Latn-ary_Arab,35.5,19.6,15.2
afr_Latn-arz_Arab,41.6,26.6,22.4
afr_Latn-asm_Beng,34.8,21.2,26.2
afr_Latn-ast_Latn,52.2,29.8,31.3
afr_Latn-awa_Deva,37.8,19.9,21.8
afr_Latn-ayr_Latn,29.7,7.4,11.1
afr_Latn-azb_Arab,21,4.4,4
afr_Latn-azj_Latn,40.8,22.3,20.4
afr_Latn-bak_Cyrl,46,28.2,39.6
afr_Latn-bam_Latn,28.4,8,11
afr_Latn-ban_Latn,42.1,16.9,18.6
afr_Latn-bel_Cyrl,39.5,24.4,21.9
afr_Latn-bem_Latn,35.9,11.9,14.2
afr_Latn-ben_Beng,45.4,31.2,33
afr_Latn-bho_Deva,38.8,19.6,22.6
afr_Latn-bjn_Arab,15.9,5,5.1
afr_Latn-bjn_Latn,45.4,19.2,19.7
afr_Latn-bod_Tibt,28.3,7,1.5
afr_Latn-bos_Latn,54.2,35.1,33.4
afr_Latn-bug_Latn,32,8,9.4
afr_Latn-bul_Cyrl,58.9,42.3,39.9
afr_Latn-cat_Latn,59.3,41.6,41.8
afr_Latn-ceb_Latn,53,28.9,30.5
afr_Latn-ces_Latn,52.5,36.2,34.9
afr_Latn-cjk_Latn,23.9,3.8,4.6
afr_Latn-ckb_Arab,43.2,22.7,25.4
afr_Latn-crh_Latn,43.9,24.1,26.7
afr_Latn-cym_Latn,61.8,47,47.9
afr_Latn-dan_Latn,61.2,42.8,42
afr_Latn-deu_Latn,57.9,40.2,38.3
afr_Latn-dik_Latn,23.1,5.3,6.9
afr_Latn-dyu_Latn,17.7,2.7,2.8
afr_Latn-dzo_Tibt,33.3,11.9,3.3
afr_Latn-ell_Grek,48.4,34.4,31.7
afr_Latn-eng_Latn,76,62.2,61.4
afr_Latn-epo_Latn,54.9,35,36.9
afr_Latn-est_Latn,51.9,31.6,31.5
afr_Latn-eus_Latn,46.8,25.5,26.5
afr_Latn-ewe_Latn,36.8,15.4,20.6
afr_Latn-fao_Latn,46.4,27.6,29.2
afr_Latn-fij_Latn,45.2,21.4,24.9
afr_Latn-fin_Latn,51.9,32.3,30.9
afr_Latn-fon_Latn,19.5,5.4,8.4
afr_Latn-fra_Latn,63.5,47.8,46.8
afr_Latn-fur_Latn,51.5,33.1,35.1
afr_Latn-fuv_Latn,22.7,5.2,5.4
afr_Latn-gaz_Latn,36.2,11.6,13.7
afr_Latn-gla_Latn,47.6,26.1,30.2
afr_Latn-gle_Latn,53.1,35.2,38.7
afr_Latn-glg_Latn,55.8,35.4,36.1
afr_Latn-grn_Latn,33.3,13.4,15.9
afr_Latn-guj_Gujr,48,31.6,35.7
afr_Latn-hat_Latn,48.1,26,28.7
afr_Latn-hau_Latn,48,24.9,26.9
afr_Latn-heb_Hebr,53.7,39.8,37.6
afr_Latn-hin_Deva,51.2,33.4,35.5
afr_Latn-hne_Deva,47.3,26.9,31.8
afr_Latn-hrv_Latn,53.8,34.7,33.1
